product_id,description
77221333,"“Tôi trở lại những việc đầu tiên đã mang tôi đến cuộc hành trình kinh doanh. Đó chính là tình yêu của tôi dành cho ẩm thực, nấu ăn và công việc sáng tạo. Tôi để trái tim dẫn đường và không quan trọng con đường ấy dẫn tôi đến đâu.” Đào Chi Anh từng là cái tên phủ khắp các mặt báo. Cô gái nói được bốn thứ tiếng, xinh đẹp, học tập xuất sắc, food blogger nổi tiếng, ở tuổi 31 đã trở thành CEO của KAfe Group,với số vốn hoạt động 5.5 triệu USD. Lóa mắt bởi thành công và danh hiệu, xa rời đam mê của bản thân, Đào Chi Anh đã không đủ tỉnh táo để bơi giữa bể cá mập khốc liệt: KAfe sụp đổ. Trở về nhà chia sẻ câu chuyện của Chi Anh từ ấu thơ đến khi gây dựng sự nghiệp, đến đỉnh cao và thất bại, đến cách vượt qua cú ngã tìm lại sự yên bình. Trở về nhà, nghĩa là trở về Việt Nam, là coi trọng giá trị gia đình, là thấu hiểu bản thân. Giờ đây cô hài lòng với công việc kinh doanh đồ bếp, làm tư vấn cho các dự án ẩm thực, đồng thời tư vấn dinh dưỡng và rèn luyện sức khỏe cho phụ nữ. Trở về nhà cũng chia sẻ những kinh nghiệm làm việc mà tác giả có được trong môi trường doanh nghiệp, những kỹ năng và thái độ cần thiết để phát triển bản thân, qua đó hy vọng cuốn sách có thể giúp những người trẻ kiến thức nhất định trên con đường sự nghiệp đang rộng mở."
106362420,"Nhà tâm lý học nổi tiếng Carol S. Dweck sau nhiều thập niên nghiên cứu về thành công đã khám phá ra một ý tưởng thực sự mang tính đột phá – sức mạnh tư duy của chúng ta.
Cuốn sách sẽ cho bạn thấy không chỉ khả năng và tài trí mới mang lại thành công cho chúng ta, mà phần lớn do cách tiếp cận mục tiêu bằng lối tư duy nào. Việc tán dương trí thông minh và khả năng của con bạn không hề nuôi dưỡng lòng tự trọng và dẫn đến thành tựu, mà thậm chí còn phương hại đến thành công sau này. Với tư duy đứng đắn, chúng ta có thể tạo động lực cho con cái và giúp chúng phát triển trong trường học, cũng như đạt được mục tiêu của bản thân trong cuộc sống và sự nghiệp. Dweck đã giúp tất cả các bậc cha mẹ, giáo viên, CEO và vận động viên thấy một ý tưởng đơn giản về não bộ có thể tạo ra tình yêu học tập và sự kiên trì – cơ sở cho những thành tựu vĩ đại ở mọi lĩnh vực."
106362101,"Đây là một cuốn sách có nội dung thiết thực, hữu ích. Nó cung cấp cho bạn đọc những tri thức, kỹ năng sống, bài học bổ ích trong lĩnh vực kinh doanh nói riêng và cuộc sống nói chung. Cuốn sách là một cẩm nang không thể bỏ qua đối với những ai đang có ý định lập nghiệp bằng con đường kinh doanh, cũng như những ai đã và đang thành công trên thương trường.
“Năm 1995, tôi tình cờ mua cuốn sách Làm nên. Tôi đã mê mải đọc nó chỉ trong một ngày. Làm nên đã trở thành sách gối đầu giường của tôi thời đó. Tôi đã đọc được ở đây những lời khuyên vô cùng giá trị và hữu ích mà không thể tìm thấy ở bất cứ đâu. Đọc xong nó, tôi tự tin hơn với những suy nghĩ có phần ”lệch lạc“ so với lối suy nghĩ thông thường, so với những gì tôi thường được dạy. Tôi bắt đầu thay đổi cách dùng thời gian rảnh rỗi của mình. Tôi bớt đi cà phê, tụ tập với đám bạn mà tìm kiếm những việc hữu ích cho mình, đó là đọc sách và suy ngẫm, gặp gỡ những người giỏi hơn mình để trò chuyện, trao đổi...”"
106362224,"Tìm hạnh phúc, kiếm triệu đô, sống cuộc đời mơ ước
“Đây là một thế giới mới”, Altucher nói, và những cách thức truyền thống để thành công không còn phù hợp nữa. “Cách duy nhất mà chúng ta có thể trở thành một doanh nhân, nghệ sĩ, nhà cải tiến hay bất cứ điều gì chúng ta muốn để đạt được cuộc sống thành công đó là lựa chọn chính chúng ta cho thành công đó”. Trong một buổi nói chuyện vào năm 2013 với Tạp chí Business Insider, Altucher chia sẻ: “Chúng ta không còn dựa vào các mô hình cũ để tạo ra sự an toàn và thành công mà chúng ta xứng đáng được nhận”.
Cuốn sách này sẽ cung cấp rất nhiều câu chuyện thất bại cũng như thành công của các doanh nhân trên con đường làm giàu. Những ý tưởng của Altucher về việc làm giàu chắc chắn sẽ là thách thức nhưng cũng là cơ hội thay đổi cách suy nghĩ về kế hoạch kinh doanh mà bạn đang theo đuổi."
249876837,"Bằng giọng văn và ngôn ngữ dí dỏm, tác giả chia sẻ với các bạn trẻ nhiều trải nghiệm, bài học và kỹ năng mềm từ khi bước vào giảng đường đại học, đi làm rồi làm sếp. Bạn trẻ thế hệ Y, đặc biệt là thế hệ Z, sẽ tìm thấy được nhiều thứ hữu ích mà đôi khi mình chưa tìm được câu trả lời ở đâu khác, từ việc chọn trường đến kỹ năng làm CV, kỹ năng đi phỏng vấn, kỹ năng đi làm và làm giỏi… Còn thế hệ Y tìm thấy nhiều điều thú vị về cách ứng xử tại nơi làm việc – từ ứng xử với đồng nghiệp, với sếp, đến việc trở thành những người đi làm chuyên nghiệp, rồi làm sếp tốt… – work like a pro!
“Thế nên các bạn ạ, nếu một lúc nào đó các bạn thấy mình tệ quá hoặc chẳng tiến bộ gì cả, đừng bỏ cuộc mà hãy dũng cảm đối đầu với nó. Phân tích tại sao và giải pháp như thế nào. Hãy nói với sếp về cảm giác của mình. Sếp sẽ cho một liều hoặc thuốc đặc trị hoặc thuốc bổ, kiểu gì cũng sẽ khỏe hơn thôi.”
“Bởi không phải vô tình người ta thiết kế ra bốn năm đại học. Có học, dù sao vẫn tốt hơn rất nhiều. Đó, em thấy rồi đó. Kiểu gì em cũng về đích thôi mà. Nên là, vấn đề không phải là em chọn sai ngành mà cách em đối diện với sai lầm này. Và học từ vấp ngã từ khi còn rất trẻ này, cũng là một cách để em trưởng thành nhanh hơn đó.”
Ngoài ra, sách còn có nhiều minh họa hài hước!"
54002545,"Chúng ta lập luận khi tranh luận về những điều khoản trong một văn bản pháp lý, trong một hợp đồng thương mại hay tranh tụng tại tòa án; các đại biểu quốc hội tranh luận khi thông qua hay bác bỏ một đạo luật. Một trong những lý do khiến chúng ta không có nhiều luật sư đủ khả năng tranh tụng tại một tòa án quốc tế, như nhiều người đã nhận xét, là năng lực lập luận còn yếu kém. Tập sách này cung cấp những kiến thức “nền” về lập luận với ví dụ minh họa, dẫn chứng sinh động từ những nguồn ngữ liệu có uy tín, sách chuyên ngành ngôn ngữ nhưng nội dung dễ hiểu, những bạn đọc quan tâm ở mọi trình độ có thể dễ dàng tiếp cận và ứng dụng những kiến thức này vào việc học tập, công việc cũng như trong đời sống. Những kiến thức sách cung cấp có tính ứng dụng cao, tạo thói quen và củng cố tư duy phản biện, đặc biệt hữu ích cho học sinh, sinh viên."
41294602,"Trong một thế giới do dữ liệu thống trị, trực quan hóa chính là ngôn ngữ chung của con người. Trong một thời gian dài, việc trực quan hóa dữ liệu là công việc dành riêng cho các chuyên gia - nhà khoa học dữ liệu và nhà thiết kế chuyên nghiệp. Nhưng giờ đây thì không như vậy. Một thế hệ công cụ mới và số lượng lớn dữ liệu có sẵn giúp mọi người dễ dàng tìm ra các hình ảnh minh họa trực quan truyền đạt ý tưởng hiệu quả hơn nhiều so với bảng tính nói chung. Các biểu đồ, đồ thị, bản đồ, sơ đồ, thậm chí các ảnh động GIF và biểu tượng cảm xúc đều giúp con người hiểu và gắn kết với nhau. Trong cuốn sách Thiết kế biểu đồ ưu việt, Scott Berinato cung cấp một hướng dẫn cần thiết giúp bạn hiểu được cách hoạt động của hình ảnh minh họa trực quan và cách sử dụng ngôn ngữ mới này để tạo ấn tượng và thuyết phục. Cuốn sách này giúp bạn biến các biểu đồ đơn giản, không gây được hứng thú chỉ đơn thuần là truyền đạt thông tin thành những hình ảnh minh họa trực quan thông minh, hiệu quả, truyền đạt ý tưởng một cách mạnh mẽ."
106362692,"William Kamkwamba sinh ra tại Malawi – nơi ma thuật vẫn thống trị còn khoa học là điều bí ẩn. Đây cũng là vùng đất kiệt quệ vì hạn hán và nạn đói. Nhưng William đã được đọc về các guồng gió và mơ ước sẽ dựng được một guồng gió để mang lại cho ngôi làng nhỏ của mình hai thứ xa xỉ mà chỉ 2% dân Malawi được hưởng: điện và nước máy. Xóm giềng nói anh misala (điên rồ), nhưng William không từ bỏ ước mơ. Bằng một chồng sách khoa học từng bị bỏ quên, chút kim loại vụn, các bộ phận dỡ ra từ máy kéo và xe đạp, cùng trí tò mò và lòng quyết tâm dồi dào, anh bắt đầu kế hoạch táo bạo để tạo nên một cỗ máy chẳng giống ai và điều kỳ diệu nho nhỏ sẽ làm thay đổi cuộc sống quanh mình.
Người thu gió là câu chuyện phi thường mà có thực về óc sáng tạo của con người và khả năng vượt qua nghịch cảnh. Đây sẽ là nguồn cảm hứng cho bất cứ ai còn đang nghi ngại sức mạnh của khả năng có trong mỗi cá nhân để làm thay đổi cộng đồng của mình và mang lại cuộc sống tốt đẹp hơn cho những người xung quanh."
106362317,"Nhà tâm lý học nổi tiếng Carol S. Dweck sau nhiều thập niên nghiên cứu về thành công đã khám phá ra một ý tưởng thực sự mang tính đột phá – sức mạnh tư duy của chúng ta.
Cuốn sách sẽ cho bạn thấy không chỉ khả năng và tài trí mới mang lại thành công cho chúng ta, mà phần lớn do cách tiếp cận mục tiêu bằng lối tư duy nào. Việc tán dương trí thông minh và khả năng của con bạn không hề nuôi dưỡng lòng tự trọng và dẫn đến thành tựu, mà thậm chí còn phương hại đến thành công sau này. Với tư duy đứng đắn, chúng ta có thể tạo động lực cho con cái và giúp chúng phát triển trong trường học, cũng như đạt được mục tiêu của bản thân trong cuộc sống và sự nghiệp. Dweck đã giúp tất cả các bậc cha mẹ, giáo viên, CEO và vận động viên thấy một ý tưởng đơn giản về não bộ có thể tạo ra tình yêu học tập và sự kiên trì – cơ sở cho những thành tựu vĩ đại ở mọi lĩnh vực."
106362569,"Cuốn sách là tuyển tập 10 bài viết nhất-định-phải-đọc trên tạp chí Harvard Business Review về chủ đề đổi mới sáng tạo. Chúng tôi vẫn luôn nhận thấy lý do mà các công ty hoạt động lâu năm thất bại trong việc đổi mới là vì những nhà quản lý không có những công cụ tốt giúp họ hiểu về thị trường, xây dựng thương hiệu, tìm kiếm khách hàng, lựa chọn nhận viên, tổ chức đội ngũ và phát triển chiến lược. Cuốn sách này sẽ cung cấp cho bạn đầy đủ những công cụ đó."
106362745,"Hãy khám phá “Thời Đại của Ford” qua cuốn sách Tại sao chúng ta nghèo? - Henry Ford tự truyện: Cuộc đời và sự nghiệp của tôi. Những lời cuối trong cuốn sách về khái niệm “giá trị sử dụng” chính là những lời khuyên mà ông muốn nói, rằng chúng ta đừng quá chú trọng vào việc dành dụm. Ông nói: “Đó không phải là ”để dành“ mỗi khi ta ngăn chính bản thân mình trở nên hữu ích hơn. Khi làm như vậy là tự ta đã lấy đi vốn liếng cuối cùng của mình; lấy đi giá trị của vốn đầu tư của tự nhiên.” Ưu tiên trau dồi khả năng suy nghĩ chính là đầu tư cho chính bạn, là điều luôn đem lại kết quả tốt nhất.Henry Ford là người khởi xướng việc áp dụng dây chuyền lắp ráp công nghiệp để sản xuất sản phẩm với giá cả phải chăng nhất. “Thời Đại của Ford” đã mở ra cuộc cách mạng trong sản xuất công nghiệp trên toàn thế giới và còn ảnh hưởng sâu sắc đến nền văn minh hiện đại. MỤC LỤC:
Lời nói đầu: Ý tưởng là gì?
Chương 1: Khởi nghiệp
Chương 2: Những điều tôi học được từ kinh doanh
Chương 3: Bắt đầu kinh doanh thực sự
Chương 4: Bí quyết của sản xuất và dịch vụ
Chương 5: Bắt đầu sản xuất
Chương 6: Máy móc và con người
Chương 7: Làm việc với máy móc có đáng sợ không?
Chương 8: Vấn đề tiền lương
Chương 9: Tại sao việc kinh doanh không phải lúc nào cũng tốt đẹp?
Chương 10: Sản xuất hàng giá rẻ bằng cách nào?
Chương 11: Tiền bạc và hàng hóa
Chương 12: Đồng tiền: Ông chủ hay đầy tớ?
Chương 13: Tại sao chúng ta lại nghèo?
Chương 14: Máy kéo và cơ giới hóa nông nghiệp
Chương 15: Tại sao lại cần có từ thiện?
Chương 16: Các công ty đường sắt
Chương 17: Vật chất nói chung
Chương 18: Nền dân chủ và công nghiệp
Chương 19: Chúng ta có thể mong đợi điều gì?"
106362184,"Công nghệ kỹ thuật số ngày càng phát triển, loài người đã có những thời điểm đắm mình trong những thành công rực rỡ ấy nhưng rồi một ngày bỗng trở nên sợ hãi trước nguy cơ máy móc và nền tảng sẽ làm chủ cuộc sống của chúng ta.
Trong Máy móc – Nền tảng – Cộng đồng, một cuốn sách lớn, dữ dội nhưng cũng đầy thú vị, hai tác giả đã cung cấp một hướng dẫn những điều cần làm để làm chủ sự chuyển đổi kỹ thuật số trong tương lai của nhân loại. Ngoài việc khéo léo minh họa cách sự tiến bộ phi thường của công nghệ đang định hình lại cuộc sống của chúng ta, Andrew McAfee và Erik Brynjolfsson còn nghiêm túc trả lời những câu hỏi về thách thức và cơ hội vốn có của trí tuệ nhân tạo trong những thập kỷ gần đây, như xe tự lái và máy in 3D, nền tảng trực tuyến để thuê trang phục và lên lịch tập luyện, hoặc nghiên cứu y tế xuất phát từ cộng đồng.
Để có thể chuyển đổi kỹ thuật số một cách hiệu quả, bạn cần trang bị đầy đủ kiến thức về học máy (machine learning) và trí tuệ nhân tạo (AI). McAfee và Brynjolfsson đưa ra bản thiết kế chi tiết để hiểu hơn cách thế giới đang vận hành và tổ chức của bạn làm sao để thích ứng với nó.
Chúng ta phải tích hợp việc tìm hiểu máy móc, nghiên cứu nền tảng ở các sản phẩm và học hỏi để thu hút sức mạnh của cộng đồng. Những phân tích sâu sắc về một thế giới và một bộ công cụ trong cuốn sách giúp cho các nhà hoạch định chính sách tìm ra cách kết hợp các thế mạnh của nhân loại và công nghệ để xây dựng một tương lai tốt đẹp hơn."
106362873,"Bộ não con người có những khả năng tuyệt vời, nhưng nó lại không kèm hướng dẫn sử dụng. Bạn sẽ tìm thấy hướng dẫn sử dụng ấy trong A Mind for Numbers – Cách chinh phục Toán và Khoa học. Dù chỉ là người mới hay đã là chuyên gia, bạn vẫn sẽ tìm thấy những cách mới tuyệt vời để nâng cao kỹ năng và kỹ thuật học tập, đặc biệt trong bộ môn toán và khoa học.
A Mind for Numbers- Cách chinh phục Toán và Khoa học, đưa ra các cách thức giúp học sinh – sinh viên đang gặp rắc rối với môn toán và khoa học biết cách khai mở và sử dụng nguồn tài nguyên vô tận trong chính bộ não của mình, qua đó không chỉ chinh phục thành công bộ môn này mà đồng trời trở nên xuất sắc hơn bao giờ hết. Cuốn sách cũng giúp ích cho những người đã đi làm biết cách sáng tạo và sắp xếp công việc của mình, đồng thời phát triển nó lên một tầm cao mới, thông qua các kỹ thuật tư duy hoàn hảo.
Cuốn sách tập trung trình bày các kỹ thuật cơ bản để sử dụng bộ não hiệu quả, đồng thời phát triển tư duy sâu hơn, có được cách nhìn mới mẻ và sáng tạo hơn. Các nội dung chính được sắp xếp một cách trình tự và logic, giúp người đọc dễ dàng đọc hiểu và thực hành theo.
Các kỹ thuật tư duy sáng tạo như tư duy tập trung và tư duy phân tán, kỹ thuật lập khối thông tin hay đơn giản chỉ là kỹ thuật Pomodoro,… được tác giả trình bày ngắn gọn và rõ ràng, giúp tất cả người đọc hiểu sâu và áp dụng tốt vào học tập, công việc cũng như đời sống thường ngày.
Ngoài ra, không chỉ giới thiệu về cách thức hoạt động của bộ não và mối liên hệ của nó với việc học, người đọc còn được tiếp cận một số quan điểm sai trong học tập dẫn đến việc học không hiệu quả, đồng thời biết thêm nhiều mẹo hữu ích cho việc học và làm bài thi. Đặc biệt, tác giả lựa chọn các ví dụ thực tế từ chính các giáo sư, tiến sĩ, giáo viên và sinh viên để minh chứng cho sự thay đổi khi dựa vào các phương pháp tư duy được đưa ra trong cuốn sách."
106362651,"Richard Branson được biết đến là một ông trùm kinh doanh người Anh, nổi tiếng với thương hiệu Virgin gồm hơn 360 công ty trong mọi lĩnh vực. Ông đã viết nhiều cuốn sách về sự nghiệp và cuộc đời của chính mình.
Người đi tìm bão là sự tiếp nối của cuốn Đường ra biển lớn. Xuyên suốt cuốn sách, chúng ta sẽ thấy được quá trình thành lập và phát triển Tập đoàn Virgin, những khó khăn cũng như những khủng hoảng, thảm họa khủng khiếp tưởng chừng như sẽ phá hủy cả sự nghiệp của Richard mà ông từng phải đối mặt và cách ông xử lý chúng, thậm chí tận dụng chúng để nâng cao danh tiếng và thành công của mình.
Không chỉ vậy, trong cuốn sách này, chúng ta còn biết được về cuộc sống đời thường của “tỷ phú nổi loạn” Richard Branson, về những thành viên trong gia đình ông, về cách ông trở thành một người ông, một người cha và một người chồng tốt hơn như thế nào."
106362310,"Trong phần đầu, tác giả Mike Rohde tóm tắt tổng quan nhanh về sketchnote. Sau đó, ông tiếp tục đưa ra cách hình thành và sắp xếp ý tưởng sketchnote một cách hiệu quả và nhanh chóng, đồng thời đưa ra các phương pháp áp dụng sketchnote vào các linh vực, hoạt động như sketchnote tài liệu, trải nghiệm, phim, chương trình truyền hình… Cuốn sách còn bao gồm các bài tập thực hành ở mỗi phần giúp độc giả có thể trực tiếp luyện tập kỹ năng sketchnote."
273880094,"“Tôi đã nếm trải nhiều thất bại trong hành trình đi qua những tháng ngày của mình. Thế nhưng, mỗi chướng ngại cuối cùng đều lại chính là một bàn đạp đưa tôi gần hơn nữa tới chân lý trong tâm khảm và cuộc đời tốt đẹp nhất của mình.
Cho dù tôi có thu thập được bao nhiêu tài sản vật chất đi chăng nữa thì cái thằng người mà tôi nhìn thấy trong tấm gương phòng tắm mỗi buổi sáng vẫn y nguyên – tôi không hề hạnh phúc hơn và không hề cảm thấy tốt hơn tí nào. Suy ngẫm nhiều hơn về thực trạng cuộc sống của mình, tôi bắt đầu nhận thức được sự trống rỗng ngay trong tim mình. Tôi bắt đầu chú ý đến những tiếng thầm thì lặng lẽ của con tim, những điều chỉ dẫn tôi rời bỏ nghề nghiệp mình đã chọn và bắt đầu quá trình tìm kiếm tâm hồn một cách nghiêm túc. Tôi bắt đầu suy nghĩ về lý do tại sao tôi lại ở đây, trên hành tinh này, và nhiệm vụ cụ thể của tôi là gì. Tôi tự hỏi tại sao cuộc đời mình lại không có tác dụng và cần phải thực hiện những thay đổi sâu sắc nào để giúp mình đi đúng hướng. Tôi xem xét những niềm tin cốt lõi, những giả định, và những lăng kính mà mình nhìn ra thế giới, và tôi tự cam kết làm sạch những lăng kính không lành mạnh.”
“Cuốn sách này là một tác phẩm hư cấu. Đây là câu chuyện về một người đàn ông có tên Jack Valentine mà đường đời có nhiều điểm giống với tôi. Có cảm nhận rất không đầy đủ với tư cách một con người, anh ấy lên kế hoạch tìm kiếm tri thức để sống một cuộc sống hạnh phúc hơn, khoẻ khoắn hơn và đẹp hơn.”
Những “Câu hỏi cuối cùng” là một điều kì lạ mà Jack nghe được từ người bệnh nhân già nằm cùng phòng với anh – ông Cal. Chỉ sau một buổi tối trò chuyện cùng ông, Jack đã nhận thấy những sự thay đổi đang diễn ra trong mình. Và từ đây, chuyến hành trình đến Rome, Hawaii và New York cùng những khám phá mới mẻ mà anh học được từ ba người thầy vĩ đại trong cuộc đời đã giúp anh trả lời được ba câu hỏi mà cha anh – Cal Valentine đã nói trước khi ông qua đời:
– Ta đã SỐNG một cách KHÔN NGOAN chưa?
– Ta đã YÊU THƯƠNG chưa?
– Ta đã CỐNG HIẾN thật nhiều chưa?’
Cuốn sổ mà cha Mike – người thầy đầu tiên ở Rome đưa cho Jack đã đúc kết 10 điều mà anh đã học được trong suốt cuộc hành trình:
1. Công việc chính của mọi con người là công việc nội tâm.
2. Hãy xem cuộc sống của mình như một trường học dạy cách trưởng thành.
3. Hãy thành thật với chính mình – cuộc sống tốt đẹp nhất là cuộc sống chân thật.
4. Hãy nhớ rằng chúng ta thu nhận những gì chúng ta phát ra.
5. Chúng ta nhìn nhận thế giới không như chính nó mà như chúng ta nghĩ.
6. Hãy sống bằng trái tim của ban – tri thức của nó không bao giờ nói dối.
7. Hãy đắm mình trong sự tò mò của cuộc đời bạn.
8. Hãy chăm lo cho chính bạn.
9. Hãy xây dựng những kết nối của con người.
10. Hãy để lại một di sản."
106362858,"Bộ Công Cụ Đổi Mới Doanh Nghiệp là người bạn đồng hành quan trọng đối với mọi nhà cải tiến, nhà lãnh đạo và nhà quản lý của các đội nhóm sáng tạo, giám đốc các công ty – những người muốn thúc đẩy sự tăng trưởng hữu cơ cho doanh nghiệp của mình. Được viết và trình bày dưới dạng một tham chiếu dễ sử dụng, cuốn sách này sẽ giúp độc giả xác định rõ lý do, thời điểm và cách thức áp dụng từng kỹ thuật để tối đa hóa lợi nhuận và kết quả. Hơn 50 kỹ thuật trong cuốn sách được tổ chức xung quanh một khuôn khổ giúp bạn xác định các cơ hội cải tiến, tạo ra ý tưởng đột phá và mới mẻ, lựa chọn những ý tưởng tốt nhất cho những cải tiến trong tương lai cũng như thực hiện những giải pháp mới ưu việt nhằm đáp ứng các kỳ vọng của khách hàng.
Bộ Công Cụ Đổi Mới Doanh Nghiệp còn là trợ thủ đắc lực cho các nhà lãnh đạo, nhà quản lý và chuyên gia cải tiến, giúp họ làm việc hiệu quả hơn – tiếp thêm sự tự tin, tránh mắc phải nguy cơ thất bại đáng kể và phát triển doanh nghiệp bền vững."
316890,"Năm Ngôn ngữ Tình yêu là cuốn sách được biên dịch từ tác phẩm nổi tiếng The Five Love Languages của chuyên gia tâm lý – Tiến sĩ Gary Chapman - cuốn sách luôn nằm trong danh sách những cuốn sách bán chạy nhất thế giới và đã được dịch ra 40 ngôn ngữ. Riêng bản tiếng Anh đã phát hành được trên 5 triệu bản và luôn nằm trong top 100 cuốn sách bán chạy nhất của A Việt Nam là ngôn ngữ thứ 41.
Năm Ngôn ngữ Tình yêu của Gary Chapman sẽ hé mở cho bạn một điều thú vị rằng, mỗi người trong chúng ta đều có một “ngôn ngữ tình yêu” khác nhau. Khi hiểu được sự khác biệt ấy và biết cách sử dụng đúng ngôn ngữ tình yêu của mình, các bạn sẽ xây dựng được một nền tảng vững chắc cho tình yêu và một gia đình hạnh phúc, nơi cả hai đều cảm thấy mình được quan tâm, yêu thương và chia sẻ trong sự ấm áp, nồng nàn của tình yêu.
Để có một đời sống gia đình hạnh phúc bền lâu, cả hai cần dành ra những giờ phút chia sẻ, thảo luận về quan điểm và những điều mình mong muốn từ hành động, lời nói của nhau. Rất có thể, ngôn ngữ yêu thương của bạn và chồng (hoặc vợ bạn) là hoàn toàn khác nhau. Do đó, chúng ta cần sẵn lòng học lấy ngôn ngữ tình yêu của người mình yêu. Và, khi các bạn có thể chia sẻ và thông hiểu nhau nhiều nhất, tình yêu của các bạn sẽ thăng hoa…
Với kinh nghiệm ba mươi năm tư vấn hôn nhân, tác giả đã đúc kết được 5 Ngôn ngữ Tình yêu cơ bản – đó là năm cách để biểu đạt và thấu hiểu cảm xúc trong tình yêu. Tuy nhiên, mức độ áp dụng của mỗi người lại khác nhau. Điều quan trọng nhất cần nhớ là, hãy nói bằng ngôn ngữ tình yêu của người bạn đời chứ không phải của bản thân bạn."
189336445,"Chúng ta thường nghe cũng như đọc nhiều về gương thành công, về những vĩ nhân. Chúng ta thường không thích nói về thất bại, như thể chúng ta đã được “lập trình” để tránh thất bại… Lẽ nào “thất bại” chẳng có chút giá trị nào sao? Quyển sách này đề cập đến một mặt khác của câu chuyện thành công. Đó là một phương diện chúng ta cần thật sự học hỏi. Đối với những ai đã từng cố gắng và từng thất bại, quyển sách này đứng về phía bạn. Dám thất bại, bạn sẽ dễ dàng thành công sau này…
Billi Lim là nhà sáng lập của IHK (Viện Hardknocks – Institute of Hardknocks) và chương trình hội thảo nổi tiếng “Sinh ra để tự do” (“Born to be free”) có tầm ảnh hưởng khá lớn ở khu vực châu Á.
Quyển sách và chương trình hội thảo Dám thất bại  (Dare to Fail ™) của ông được biết đến rất rộng rãi. Hiện nay Dám thất bại đã được dịch ra hơn 10 thứ tiếng và có mặt tại rất nhiều quốc gia. Tham vọng của tác giả là tổ chức dịch cuốn sách ra 22 ngôn ngữ để cả thế giới đều tiếp cận được với nó."
202604311,"Lão Tử là người huyện Khổ, nước Sở, sống trong thời Xuân Thu Chiến Quốc. Tương truyền ông là người viết bộ sách Đạo Đức Kinh, chủ yếu bàn về Đạo học và cách sống để hòa hợp với Đạo. Ở Việt Nam, có rất nhiều nhà nghiên cứu đã dịch và bình chú về cuốn Đạo Đức Kinh của Lão Tử. Nhờ những cách hiểu và khám phá mới mẻ của mỗi nhà nghiên cứu mà nội dung quyển Đạo Đức Kinh ngày càng trở nên phong phú và nhiều màu sắc. Nhà xuất bản Trẻ xin giới thiệu đến quý độc giả hai cuốn sách Lão Tử Đạo Đức Kinh và Lão Tử tinh hoa. Lão Tử Đạo Đức Kinh được học giả Nguyễn Duy Cần dịch trực tiếp từ bản gốc tiếng Trung Quốc, có kèm theo phần chú giải để độc giả tiện theo dõi. Lão Tử tinh hoa là cuốn sách bàn rộng ra về những nội dung cốt lõi của Đạo Đức Kinh. Trân trọng giới thiệu đến quý độc giả cả nước."
